id,name,movie_id
35.0,Comedy,10770
878.0,Science Fiction,10770
12.0,Adventure,1452
14.0,Fantasy,1452
28.0,Action,1452
878.0,Science Fiction,1452
80.0,Crime,36576
35.0,Comedy,36576
27.0,Horror,33005
878.0,Science Fiction,33005
53.0,Thriller,33005
28.0,Action,32740
878.0,Science Fiction,32740
28.0,Action,1593
12.0,Adventure,1593
35.0,Comedy,1593
10751.0,Family,1593
14.0,Fantasy,1593
28.0,Action,1948
53.0,Thriller,1948
80.0,Crime,1948
10402.0,Music,9762
18.0,Drama,9762
10749.0,Romance,9762
80.0,Crime,9762
28.0,Action,58311
35.0,Comedy,58311
878.0,Science Fiction,58311
28.0,Action,18672
14.0,Fantasy,18672
18.0,Drama,32761
28.0,Action,12094
35.0,Comedy,12094
99.0,Documentary,12094
16.0,Animation,15997
10751.0,Family,15997
12.0,Adventure,15997
12.0,Adventure,7484
16.0,Animation,7484
10751.0,Family,7484
27.0,Horror,10781
27.0,Horror,1975
53.0,Thriller,1975
28.0,Action,8975
12.0,Adventure,8975
18.0,Drama,8975
53.0,Thriller,8975
28.0,Action,5890
27.0,Horror,214
53.0,Thriller,214
80.0,Crime,214
18.0,Drama,43071
16.0,Animation,43071
36.0,History,43071
12.0,Adventure,43071
18.0,Drama,14620
878.0,Science Fiction,14620
53.0,Thriller,14620
35.0,Comedy,13767
10751.0,Family,13767
12.0,Adventure,13767
12.0,Adventure,36557
28.0,Action,36557
53.0,Thriller,36557
16.0,Animation,9836
35.0,Comedy,9836
80.0,Crime,15152
28.0,Action,15152
12.0,Adventure,15152
35.0,Comedy,15152
35.0,Comedy,10032
18.0,Drama,22440
14.0,Fantasy,22440
27.0,Horror,22440
10749.0,Romance,17604
14.0,Fantasy,17604
12.0,Adventure,17604
18.0,Drama,1246
35.0,Comedy,12795
10749.0,Romance,12795
36.0,History,33583
18.0,Drama,33583
35.0,Comedy,33583
12.0,Adventure,9992
14.0,Fantasy,9992
16.0,Animation,9992
10751.0,Family,9992
35.0,Comedy,8275
35.0,Comedy,11578
35.0,Comedy,11972
9648.0,Mystery,9966
53.0,Thriller,9966
27.0,Horror,9966
