name,id,movie_id
PolyGram Filmed Entertainment,1382.0,4518
Working Title Films,10163.0,4518
Columbia Pictures,5.0,3600
Mandalay Entertainment,1236.0,3600
Summer Knowledge LLC,1464.0,3600
Palomar Pictures,2380.0,12223
Fadsin Cinema Associates,36638.0,12223
Paramount Pictures,4.0,14444
Nickelodeon Movies,2348.0,14444
Klasky-Csupo,59150.0,14444
Toho Film (Eiga) Co. Ltd.,622.0,1678
New World Pictures,1950.0,39256
Toho Company,882.0,1680
RKO General Pictures,46976.0,1680
Universal Pictures,33.0,9749
Universal Pictures,33.0,14628
Vincent Pictures,8818.0,14628
Famous Films (II),3418.0,9626
Metro-Goldwyn-Mayer (MGM),8411.0,9626
Dino De Laurentiis Company,10308.0,9626
Eon Productions,7576.0,707
Warner Bros.,6194.0,9336
The Ladd Company,7965.0,9336
Warner Bros.,6194.0,10157
The Ladd Company,7965.0,10157
Warner Bros.,6194.0,12118
Police Academy Productions,69583.0,12118
Warner Bros.,6194.0,10587
Warner Bros.,6194.0,11825
Warner Bros.,6194.0,11895
Kennedy Miller Productions,2537.0,9447
Paramount Pictures,4.0,200
TriStar Pictures,559.0,1369
Carolco Pictures,14723.0,1369
Orion Pictures,41.0,1368
TriStar Pictures,559.0,1370
Carolco Pictures,14723.0,1370
Twentieth Century Fox Film Corporation,306.0,10303
SLM Production Group,396.0,10303
Stone Group Pictures,3470.0,10303
Twentieth Century Fox Film Corporation,306.0,9326
SLM Production Group,396.0,9326
Nina Saxon Film Design,1693.0,9326
El Corazon Producciones S.A.,81127.0,9326
Twentieth Century Fox Film Corporation,306.0,10328
SLM Production Group,396.0,10328
Zanuck/Brown Productions,1865.0,10328
Twentieth Century Fox Film Corporation,306.0,11285
Zanuck/Brown Productions,1865.0,11285
United Artists,60.0,1367
United Artists,60.0,1371
United Artists,60.0,1374
United Artists,60.0,1375
Columbia Pictures Corporation,441.0,1885
Jerry Weintraub Productions,2596.0,1885
Delphi Films,4267.0,1885
Columbia Pictures Corporation,441.0,8856
Delphi V Productions,1174.0,8856
Columbia Pictures Corporation,441.0,10495
Weintraub International Group,57092.0,10495
Vista Organization,4535.0,6917
New Century Entertainment Corporation,10165.0,6917
Alliance Entertainment,10166.0,6917
Epic Productions,1988.0,40729
Vision PDG,4109.0,40729
Alliance Entertainment,10166.0,40729
Twentieth Century Fox Film Corporation,306.0,11815
SLM Production Group,396.0,9426
Brooksfilms,5612.0,9426
Brooksfilms,5612.0,10344
New Line Cinema,12.0,30497
Vortex,1197.0,30497
Cannon Films,4110.0,16337
Nicolas Entertainment,33306.0,25018
Ultra Muchos Productions,17479.0,16780
Paramount Pictures,4.0,9671
Rimfire Films,15081.0,9671
Paramount Pictures,4.0,9396
Columbia Pictures Corporation,441.0,8224
Hofflund/Polone,1685.0,8224
Global Entertainment Productions GmbH & Company Medien KG,9269.0,8224
Paramount Pictures,4.0,8913
Paramount Pictures,4.0,10906
Columbus Circle Films,3264.0,10906
Corn Cobb Productions,4415.0,25748
Dimension Films,7405.0,25748
Fifth Avenue Entertainment,15342.0,25748
Park Avenue Productions,4416.0,25749
Trans Atlantic Entertainment,15343.0,25749
Universal Pictures,33.0,10671
Ross Hunter Productions Inc.,1830.0,10671
Universal Pictures,33.0,27932
Universal Pictures,33.0,7227
Metro-Goldwyn-Mayer (MGM),8411.0,2362
Twentieth Century Fox Film Corporation,306.0,871
APJAC Productions,12943.0,871
Twentieth Century Fox Film Corporation,306.0,1685
APJAC Productions,12943.0,1685
Twentieth Century Fox Film Corporation,306.0,1705
Apjac International,22542.0,1705
Twentieth Century Fox Film Corporation,306.0,1688
APJAC Productions,12943.0,1688
Twentieth Century Fox Film Corporation,306.0,1687
APJAC Productions,12943.0,1687
Universal Pictures,33.0,29723
Spring Creek Productions,705.0,9535
Warner Bros.,6194.0,9535
Tribeca Productions,11391.0,9535
Baltimore Pictures,11407.0,9535
Columbia Pictures,5.0,796
Cruel Productions,505.0,796
Newmarket Capital Group,506.0,796
United Artists,60.0,7341
Red Bank Films,2229.0,7341
Village Roadshow Pictures,79.0,603
Groucho II Film Partnership,372.0,603
Silver Pictures,1885.0,603
Warner Bros.,6194.0,603
Universal Pictures,33.0,564
Alphaville Films,11462.0,564
Lucasfilm,1.0,1893
Universal Pictures,33.0,15849
Hammer Film Productions,1314.0,18990
Universal Pictures Co. Inc.,87008.0,29242
Universal Pictures,33.0,29243
Universal Pictures,33.0,31498
Universal Pictures,33.0,29239
Warner Bros.,6194.0,1924
Dovemead Films,51861.0,1924
Film Export A.G.,51862.0,1924
Warner Bros.,6194.0,8536
Dovemead Films,51861.0,8536
Film Export A.G.,51862.0,8536
Warner Bros.,6194.0,9531
Dovemead Films,51861.0,9531
Cantharus Productions,51903.0,9531
Cannon Films,4110.0,11411
Warner Bros.,6194.0,11411
London-Cannon Films,6231.0,11411
Golan-Globus Productions,13549.0,11411
Universal Pictures,33.0,138
Universal Pictures,33.0,30793
Universal Pictures,33.0,3103
Universal Pictures,33.0,3035
Universal Pictures,33.0,3077
Universal Pictures,33.0,3074
Universal Pictures Co. Inc.,87008.0,3076
Hammer Film Productions,1314.0,3079
Universal Pictures,33.0,32023
Universal Pictures,33.0,13666
Hemdale,16593.0,29794
Cinema '84/Greenberg Brothers Partnership,84526.0,29794
DC Comics,429.0,17918
New Line Cinema,12.0,817
Eric's Boy,595.0,817
Walt Disney Pictures,2.0,37135
Universal Pictures,33.0,2105
Summit Entertainment,491.0,2105
Newmarket Capital Group,506.0,2105
Zide-Perry Productions,3169.0,2105
Les Films du Losange,223.0,10239
Rhône-Alpes Cinéma,1666.0,10239
La Sept Cinéma,16366.0,10239
Columbia Pictures,5.0,10208
"Jim Henson Company, The",6254.0,10208
Artisan Entertainment,2188.0,2667
Haxan Films,15160.0,2667
Columbia Pictures Corporation,441.0,620
Delphi Films,4267.0,620
Black Rhino Productions,47565.0,620
Columbia Pictures Corporation,441.0,2978
Walt Disney Pictures,2.0,332
Caravan Pictures,175.0,332
DiC Entertainment,20477.0,332
Les Films du Carrosse,53.0,147
Sédif Productions,10897.0,147
The Criterion Collection,10932.0,147
Golan-Globus,1445.0,9710
Twentieth Century Fox Film Corporation,306.0,10766
Mace Neufeld Productions,2767.0,10766
Twentieth Century Fox Film Corporation,306.0,10768
Paramount Pictures,4.0,813
Paramount Pictures,4.0,2665
Imagine Entertainment,23.0,11077
Universal Pictures,33.0,11077
Imagine Entertainment,23.0,28597
Universal Pictures,33.0,28597
Metro-Goldwyn-Mayer (MGM),8411.0,850
Christmas Tree Films,10757.0,850
TriStar Pictures,559.0,10366
Baumgarten-Prophet Entertainment,12968.0,10366
Centropolis Entertainment,347.0,9349
TriStar Pictures,559.0,9349
StudioCanal,694.0,9349
IndieProd Company Productions,959.0,9349
Carolco Pictures,14723.0,9349
Columbia Pictures,5.0,11797
Delphi IV Productions,7401.0,11797
